A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.01,86.38,148.48,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,985,f
7.01,85.43,148.48,42.29,43.55,49.16,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,991,f
7.01,85.43,147.62,42.29,43.55,48.56,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,819,f
7.01,85.43,147.62,42.29,43.55,48.56,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1019,f
7.01,85.43,148.48,42.29,42.90,48.56,29.90,41.40,24.12,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,614,f
6.13,85.43,147.62,42.29,42.90,48.56,29.90,41.40,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,147.62,42.29,42.90,47.97,29.90,41.40,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,42.29,42.90,47.97,29.90,41.40,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,147.62,42.29,42.90,47.97,29.90,41.40,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.90,47.97,29.90,41.40,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,147.62,41.47,42.90,47.97,29.90,41.40,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,796,f
6.13,85.43,147.62,41.47,42.90,47.97,29.90,40.85,23.65,4.70,1.96,2.93,70.91,9.76,7.89,3.36,2.77,1.19,1023,f
7.01,85.43,147.62,41.47,42.90,47.97,29.90,40.85,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.90,47.97,29.90,40.85,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.90,47.97,29.90,40.85,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.90,47.38,29.90,40.85,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,610,f
6.13,85.43,147.62,41.47,42.25,47.38,29.90,40.85,23.65,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1017,f
6.13,85.43,147.62,41.47,42.25,47.38,29.90,40.85,23.17,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.25,47.38,29.90,40.85,23.17,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.25,47.38,29.90,40.85,23.17,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.25,47.38,29.90,40.85,23.17,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
6.13,85.43,147.62,41.47,42.25,47.38,29.30,40.85,23.17,4.70,1.96,2.93,69.76,9.76,7.89,3.36,2.77,1.19,1023,f
